frequency,variable,count,experiments
Monthly,sea surface height above geoid,10,"piControl, rcp85, abrupt4xCO2, historical, rcp45, 1pctCO2"
Monthly,surface upward latent heat flux,27,"1pctCO2, amip, rcp26, rcp85, amip4K, historicalMisc, abrupt4xCO2, historical, historicalGHG, amip4xCO2, rcp45, piControl, decadal"
Monthly,convective cloud area fraction,1,"amip, historical, piControl"
Monthly,sea area fraction,8,"1pctCO2, rcp60, midHolocene, lgm, rcp26, piControl, rcp85, esmrcp85, abrupt4xCO2, historical, esmHistorical, rcp45, amip, esmControl"
Monthly,mass fraction of water in air,1,"rcp45, historical, rcp85"
Monthly,surface snow melt flux,1,"esmFixClim1, 1pctCO2, esmFdbk1"
Monthly,water evaporation flux,17,"rcp60, sstClim4xCO2, rcp26, amip4xCO2, rcp45, 1pctCO2, aqua4xCO2, rcp85, abrupt4xCO2, esmHistorical, historicalGHG, midHolocene, historicalExt, historicalNat, piControl, sstClim, esmFdbk1, esmFixClim1, historicalMisc, aquaControl, historical, amip"
Monthly,ocean mixed layer thickness defined by mixing scheme,7,"piControl, rcp85, esmrcp85, abrupt4xCO2, historical, esmHistorical, rcp45, 1pctCO2"
Monthly,cloud area fraction in atmosphere layer,14,"amip, piControl, rcp60, aqua4xCO2, sstClimAerosol, aqua4K, rcp26, sstClim4xCO2, sstClim, amipFuture, rcp85, amip4K, aquaControl, abrupt4xCO2, historical, amip4xCO2, rcp45, 1pctCO2"
Monthly,surface downward eastward stress,10,"amip, rcp26, rcp85, historicalMisc, historicalNat, historical, historicalGHG, rcp45, piControl"
Monthly,sea water x velocity,10,"rcp26, piControl, historicalNat, rcp85, historical, esmHistorical, historicalGHG, rcp45, esmrcp85, decadal"
Monthly,northward wind,67,"1pctCO2, amipFuture, rcp60, aqua4xCO2, midHolocene, lgm, aqua4K, rcp26, piControl, amip4K, aquaControl, historicalMisc, historicalNat, rcp85, historical, historicalGHG, amip4xCO2, rcp45, amip, abrupt4xCO2"
Monthly,sea ice area fraction,41,"1pctCO2, esmrcp85, rcp60, midHolocene, past1000, amip, lgm, esmFixClim1, rcp26, rcp85, esmHistorical, historicalMisc, esmFdbk1, historicalNat, abrupt4xCO2, historical, historicalExt, historicalGHG, rcp45, piControl, decadal"
Monthly,downwelling shortwave flux in air,9,"piControl, rcp45, rcp60, abrupt4xCO2, amipFuture, amip, amip4K, rcp26, historical, amip4xCO2, rcp85, 1pctCO2, decadal"
Monthly,water evaporation flux from soil,2,"esmFdbk1, esmFixClim1, rcp85, historical, rcp45, 1pctCO2"
Monthly,wind speed,39,"rcp60, rcp26, 1pctCO2, historicalMisc, esmrcp85, rcp85, historical, esmHistorical, historicalGHG, amip4xCO2, rcp45, amip"
Monthly,surface downwelling shortwave flux in air,31,"sstClimAerosol, rcp60, amipFuture, sstClimSulfate, amip4xCO2, rcp45, 1pctCO2, esmrcp85, abrupt4xCO2, esmHistorical, historicalGHG, decadal, midHolocene, lgm, amip4K, historicalNat, rcp26, piControl, sstClim, historicalMisc, rcp85, historical, amip"
Monthly,northward ocean heat transport due to diffusion,1,"1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Monthly,isccp cloud area fraction,8,"1pctCO2, sstClim, sstClim4xCO2, sstClimAerosol, amip, abrupt4xCO2, historical, sstClimSulfate, piControl"
Monthly,transpiration flux,3,"esmFdbk1, esmFixClim1, rcp85, historicalMisc, historicalNat, historical, historicalExt, historicalGHG, rcp45, 1pctCO2"
